iter	RMSE
0	174.294478
1	171.7706431
2	169.5067661
3	167.3609083
4	165.391751
5	163.2882948
6	161.1439901
7	158.708246
8	156.4393268
9	154.212221
10	152.31133
11	150.5477137
12	148.6072143
13	146.5003534
14	144.6557105
15	142.5117815
16	140.8467097
17	138.6514207
18	136.8576689
19	135.0760607
20	133.1450151
21	131.6726297
22	130.5957697
23	129.0591976
24	127.8513261
25	126.4906344
26	124.7648876
27	123.3294654
28	121.7867276
29	120.3122284
30	119.2697923
31	117.9212858
32	116.533843
33	115.3064527
34	114.0251351
35	112.8398801
36	111.8589955
37	110.9463096
38	109.580398
39	108.4344145
40	107.1039483
41	106.0043111
42	104.9158109
43	104.0646903
44	102.7001416
45	101.6729943
46	100.4555417
47	99.44136012
48	98.63579434
49	97.69251442
50	96.62646403
51	95.46552316
52	94.45123901
53	93.56936824
54	92.65208303
55	91.91581198
56	90.96012679
57	90.23029194
58	89.47227296
59	88.66257767
60	87.64510003
61	86.84502136
62	86.070476
63	85.41333421
64	84.24678219
65	83.57069049
66	82.85977367
67	82.19425113
68	81.6120284
69	81.02423117
70	80.48300547
71	79.90466639
72	79.35636609
73	78.77006916
74	78.12595231
75	77.545605
76	76.83157511
77	76.03504255
78	75.44674274
79	74.81439922
80	74.25724299
81	73.66506495
82	73.08716276
83	72.66454661
84	71.87026847
85	71.30699655
86	70.87280823
87	70.10467168
88	69.68993641
89	69.07602892
90	68.47914521
91	68.07782096
92	67.33157512
93	66.67499
94	66.2970377
95	65.83813892
96	65.49871574
97	65.10487518
98	64.70038151
99	64.10630375
100	63.48016811
101	62.71726932
102	62.35639535
103	61.75908145
104	61.43316708
105	61.12895906
106	60.69316806
107	60.43808882
108	60.12560471
109	59.78248297
110	59.48489468
111	59.05680599
112	58.69451955
113	58.27447097
114	57.80606527
115	57.5854386
116	57.18992058
117	56.776676
118	56.53226897
119	56.19952502
120	56.02360387
121	55.70365586
122	55.4415077
123	55.13280102
124	54.82075355
125	54.54506459
126	54.3791753
127	54.20245624
128	53.91912757
129	53.60251732
130	53.49215254
131	53.39385431
132	53.19834551
133	52.98908143
134	52.73424994
135	52.58249908
136	52.15376508
137	51.86606942
138	51.37941098
139	51.27686351
140	51.08930362
141	50.90105913
142	50.812876
143	50.47248924
144	49.96239661
145	49.75519267
146	49.64928026
147	49.37612275
148	49.19212136
149	48.98553303
150	48.49251544
151	48.28768239
152	48.06731055
153	47.79241769
154	47.62706934
155	47.38750379
156	47.2702489
157	47.09298802
158	46.93770975
159	46.77759994
160	46.7380563
161	46.57239201
162	46.45421602
163	46.30588849
164	46.1780583
165	46.01721832
166	45.88638764
167	45.6751565
168	45.54637182
169	45.48363883
170	45.18693784
171	45.1368721
172	45.04482259
173	44.78968504
174	44.59118
175	44.4097413
176	44.2311007
177	43.82247822
178	43.72236987
179	43.62661692
180	43.3662127
181	43.11480812
182	43.04210261
183	42.91068421
184	42.82989244
185	42.79268829
186	42.57935429
187	42.51127594
188	42.43289686
189	42.28830771
190	41.87631214
191	41.82253939
192	41.73761465
193	41.59956599
194	41.50601183
195	41.40569325
196	41.21194293
197	41.16525477
198	41.131444
199	41.10344855
200	40.76463902
201	40.63005161
202	40.56169279
203	40.49833202
204	40.3810805
205	40.35294897
206	40.2660582
207	40.13012098
208	40.10173784
209	40.0345559
210	39.75152125
211	39.425476
212	39.4004462
213	39.2723923
214	39.10753523
215	38.92053813
216	38.9050043
217	38.81502675
218	38.70649688
219	38.60720676
220	38.54062684
221	38.50741715
222	38.36285188
223	38.26290296
224	38.20974748
225	37.89966783
226	37.8306088
227	37.67738374
228	37.55330276
229	37.44947982
230	37.3405025
231	37.32146268
232	37.24052706
233	37.21762809
234	37.17484228
235	37.12827585
236	36.92242286
237	36.89749882
238	36.88409431
239	36.86715239
240	36.74855416
241	36.60493431
242	36.4738466
243	36.26081549
244	36.21715046
245	36.11941585
246	35.86769675
247	35.79809904
248	35.73013899
249	35.67225817
250	35.61186763
251	35.50566883
252	35.49424638
253	35.44791379
254	35.39060597
255	35.37286722
256	35.35367385
257	35.29103207
258	35.27311939
259	35.22875192
260	35.15239469
261	35.05561412
262	35.01812429
263	35.00224427
264	34.91519922
265	34.66331512
266	34.62249381
267	34.59130024
268	34.58216846
269	34.50863116
270	34.40234097
271	34.31937499
272	34.29927731
273	34.28229045
274	34.21952571
275	34.15689538
276	34.14288495
277	34.10044738
278	34.09595775
279	34.06042997
280	34.0118772
281	33.94609832
282	33.90910675
283	33.88472615
284	33.73412705
285	33.70268015
286	33.6722369
287	33.29345759
288	33.092965
