iter	Passed	Remaining
0	18	18740
1	35	17796
2	51	17273
3	70	17627
4	88	17585
5	106	17664
6	126	17887
7	146	18199
8	164	18141
9	182	18112
10	199	17964
11	216	17796
12	239	18166
13	255	17999
14	271	17809
15	280	17220
16	295	17101
17	301	16473
18	318	16419
19	329	16141
20	345	16090
21	360	16022
22	376	15985
23	393	16004
24	409	15955
25	429	16094
26	449	16182
27	461	16008
28	477	15986
29	486	15729
30	502	15696
31	518	15669
32	534	15660
33	545	15495
34	555	15317
35	571	15316
36	587	15280
37	604	15300
38	619	15275
39	638	15334
40	660	15440
41	677	15462
42	694	15449
43	707	15369
44	723	15364
45	741	15385
46	748	15186
47	764	15170
48	780	15144
49	796	15131
50	811	15103
51	828	15108
52	846	15118
53	867	15192
54	886	15231
55	903	15231
56	916	15162
57	932	15143
58	948	15131
59	958	15010
60	973	14992
61	987	14942
62	1003	14923
63	1019	14908
64	1035	14892
65	1041	14739
66	1060	14766
67	1075	14734
68	1084	14632
69	1097	14580
70	1114	14576
71	1129	14557
72	1140	14485
73	1159	14503
74	1179	14544
75	1195	14534
76	1213	14545
77	1229	14538
78	1247	14549
79	1263	14535
80	1278	14506
81	1297	14530
82	1314	14519
83	1327	14478
84	1343	14459
85	1358	14440
86	1374	14423
87	1390	14410
88	1406	14398
89	1422	14378
90	1437	14363
91	1451	14326
92	1470	14338
93	1489	14355
94	1503	14325
95	1522	14332
96	1543	14365
97	1556	14326
98	1572	14313
99	1588	14296
100	1604	14280
101	1620	14267
102	1636	14254
103	1653	14242
104	1668	14225
105	1685	14219
106	1708	14260
107	1718	14196
108	1730	14147
109	1744	14116
110	1760	14100
111	1776	14084
112	1789	14048
113	1806	14037
114	1822	14027
115	1836	13994
116	1847	13940
117	1863	13928
118	1874	13878
119	1892	13876
120	1907	13857
121	1927	13870
122	1943	13860
123	1957	13826
124	1976	13832
125	1992	13819
126	2005	13788
127	2016	13740
128	2032	13725
129	2048	13712
130	2060	13667
131	2066	13588
132	2077	13540
133	2090	13507
134	2108	13511
135	2128	13521
136	2152	13561
137	2169	13553
138	2186	13542
139	2196	13490
140	2212	13476
141	2229	13471
142	2241	13436
143	2258	13426
144	2275	13419
145	2291	13406
146	2301	13353
147	2312	13313
148	2334	13332
149	2353	13334
150	2372	13341
151	2389	13333
152	2403	13307
153	2419	13290
154	2433	13269
155	2444	13226
156	2455	13186
157	2471	13171
158	2487	13157
159	2503	13140
160	2509	13079
161	2531	13092
162	2547	13082
163	2562	13061
164	2571	13013
165	2588	13003
166	2604	12989
167	2620	12979
168	2636	12965
169	2647	12926
170	2663	12911
171	2674	12873
172	2685	12838
173	2701	12823
174	2716	12807
175	2730	12781
176	2746	12770
177	2765	12770
178	2782	12762
179	2798	12749
180	2816	12745
181	2827	12706
182	2846	12709
183	2867	12716
184	2884	12707
185	2893	12661
186	2908	12645
187	2924	12629
188	2935	12596
189	2948	12568
190	2967	12568
191	2980	12544
192	2992	12513
193	3005	12486
194	3014	12443
195	3022	12398
196	3035	12374
197	3044	12331
198	3052	12287
199	3063	12255
200	3079	12241
201	3092	12218
202	3105	12192
203	3113	12150
204	3130	12139
205	3142	12112
206	3157	12097
207	3168	12063
208	3180	12036
209	3193	12014
210	3210	12005
211	3227	11996
212	3236	11959
213	3246	11923
214	3262	11912
215	3279	11902
216	3286	11858
217	3303	11849
218	3316	11829
219	3333	11817
220	3346	11797
221	3360	11775
222	3383	11788
223	3399	11777
224	3415	11763
225	3430	11749
226	3444	11728
227	3459	11713
228	3473	11693
229	3489	11682
230	3506	11672
231	3522	11661
232	3541	11657
233	3554	11636
234	3571	11627
235	3591	11625
236	3615	11640
237	3632	11630
238	3643	11599
239	3662	11596
240	3675	11576
241	3691	11562
242	3707	11550
243	3726	11545
244	3735	11510
245	3751	11497
246	3766	11480
247	3784	11474
248	3799	11460
249	3813	11440
250	3824	11411
251	3839	11397
252	3848	11364
253	3864	11349
254	3878	11331
255	3886	11295
256	3897	11267
257	3908	11240
258	3918	11211
259	3935	11200
260	3946	11172
261	3959	11151
262	3967	11118
263	3981	11098
264	3996	11083
265	4016	11084
266	4036	11081
267	4047	11056
268	4059	11032
269	4072	11010
270	4089	11000
271	4104	10986
272	4115	10960
273	4131	10946
274	4152	10946
275	4162	10920
276	4177	10903
277	4208	10930
278	4220	10906
279	4234	10888
280	4243	10858
281	4257	10840
282	4271	10821
283	4286	10807
284	4302	10793
285	4316	10776
286	4330	10757
287	4345	10743
288	4361	10729
289	4367	10693
290	4373	10656
291	4384	10630
292	4400	10618
293	4415	10602
294	4430	10587
295	4441	10563
296	4449	10533
297	4466	10520
298	4482	10509
299	4491	10480
300	4502	10455
301	4513	10431
302	4528	10417
303	4541	10398
304	4557	10385
305	4574	10375
306	4593	10368
307	4607	10350
308	4630	10354
309	4646	10343
310	4661	10327
311	4676	10311
312	4690	10294
313	4704	10277
314	4721	10267
315	4736	10252
316	4752	10238
317	4767	10223
318	4777	10199
319	4794	10187
320	4806	10167
321	4824	10157
322	4846	10158
323	4864	10149
324	4875	10126
325	4889	10108
326	4904	10094
327	4916	10073
328	4927	10050
329	4940	10031
330	4957	10019
331	4973	10007
332	4986	9987
333	4998	9967
334	5012	9950
335	5026	9933
336	5035	9907
337	5050	9891
338	5071	9888
339	5088	9878
340	5101	9859
341	5121	9852
342	5135	9837
343	5147	9816
344	5162	9800
345	5174	9780
346	5185	9758
347	5203	9748
348	5215	9728
349	5230	9712
350	5241	9691
351	5252	9669
352	5268	9656
353	5282	9639
354	5300	9630
355	5315	9615
356	5332	9605
357	5350	9594
358	5364	9578
359	5380	9564
360	5394	9549
361	5411	9538
362	5429	9528
363	5447	9517
364	5459	9497
365	5475	9484
366	5492	9473
367	5507	9458
368	5518	9436
369	5535	9424
370	5548	9407
371	5564	9394
372	5577	9375
373	5594	9363
374	5606	9344
375	5624	9333
376	5642	9323
377	5656	9308
378	5676	9301
379	5694	9291
380	5706	9271
381	5724	9260
382	5741	9248
383	5753	9228
384	5770	9217
385	5787	9206
386	5799	9185
387	5813	9170
388	5822	9146
389	5832	9123
390	5848	9109
391	5865	9096
392	5881	9084
393	5899	9074
394	5912	9055
395	5924	9036
396	5939	9020
397	5952	9002
398	5964	8983
399	5981	8971
400	5996	8956
401	6012	8943
402	6030	8934
403	6042	8913
404	6059	8902
405	6071	8882
406	6080	8859
407	6101	8852
408	6112	8832
409	6126	8816
410	6138	8797
411	6148	8774
412	6165	8762
413	6181	8749
414	6194	8732
415	6203	8708
416	6215	8689
417	6224	8666
418	6233	8643
419	6250	8631
420	6266	8618
421	6276	8597
422	6288	8577
423	6306	8567
424	6322	8553
425	6333	8534
426	6349	8520
427	6365	8506
428	6381	8493
429	6396	8479
430	6410	8463
431	6425	8448
432	6441	8434
